sku,name,unit,cost_price,sell_price,tags,description,category,subcategory,is_stock_item,is_favourite
PNL-440M,440W Mono PERC Solar Panel,ea,95.00,145.00,solar|panel,Tier-1 monocrystalline PERC module,Solar,Panels,yes,no
PNL-415M,415W Mono Solar Panel,ea,82.00,128.00,solar|panel,Tier-1 monocrystalline module,Solar,Panels,yes,no
INV-5K-1P,5kW Single Phase String Inverter,ea,1080.00,1550.00,solar|inverter,Single-phase grid-tie string inverter,Solar,Inverters,yes,no
INV-8K-1P,8.2kW Single Phase String Inverter,ea,1480.00,2050.00,solar|inverter,Single-phase grid-tie string inverter,Solar,Inverters,yes,no
INV-10K-3P,10kW Three Phase String Inverter,ea,1900.00,2650.00,solar|inverter,Three-phase grid-tie string inverter,Solar,Inverters,yes,no
INV-5K-HYB,5kW Hybrid Inverter,ea,1650.00,2400.00,solar|inverter|battery,Battery-ready hybrid inverter,Solar,Inverters,yes,no
BAT-10K,10.0kWh Lithium Battery,ea,5500.00,7800.00,solar|battery,LFP home battery module,Solar,Batteries,yes,no
RAIL-42,Mounting Rail 4200mm,ea,28.00,46.00,solar|mounting,Anodised aluminium PV rail,Solar,Mounting,yes,no
CLMP-MID,Mid Clamp,ea,1.20,2.80,solar|mounting,Module mid clamp 30-40mm,Solar,Mounting,yes,no
CLMP-END,End Clamp,ea,1.50,3.20,solar|mounting,Module end clamp 30-40mm,Solar,Mounting,yes,no
FOOT-TILE,Tile Roof Mount Foot,ea,6.00,12.00,solar|mounting,Adjustable tile interface + hanger bolt,Solar,Mounting,yes,no
FOOT-TIN,Tin Roof Mount Foot,ea,4.50,9.50,solar|mounting,Tin/Klip-Lok roof foot,Solar,Mounting,yes,no
ISO-DC-1000,DC Isolator 1000V,ea,18.00,38.00,solar|protection,Weatherproof rooftop DC isolator IP66,Solar,Protection,yes,no
ISO-AC-40,AC Isolator 40A,ea,15.00,32.00,solar|protection|switchboard,Weatherproof AC isolator,Solar,Protection,yes,no
CBL-DC6,6mm Solar DC Cable,m,1.40,2.90,solar|cable,Double-insulated TUV PV cable,Solar,Cable & Conduit,yes,yes
MC4-PR,MC4 Connector Pair,pr,2.50,5.50,solar|accessory,Male + female MC4 connector set,Solar,Accessories,yes,no
CON-SOL25,25mm Solar Conduit,m,2.20,4.20,solar|cable|consumable,Heavy-duty solar conduit,Solar,Cable & Conduit,yes,no
CBL-TPS25,2.5mm TPS Cable,m,1.10,2.20,electrical|cable|consumable,Twin and earth,Electrical,Cable & Conduit,yes,yes
CBL-TPS15,1.5mm TPS Cable,m,0.85,1.80,electrical|cable|consumable,Twin and earth,Electrical,Cable & Conduit,yes,yes
CBL-TPS6,6mm TPS Cable,m,2.60,4.60,electrical|cable|consumable,Twin and earth,Electrical,Cable & Conduit,yes,no
CBL-TPS10,10mm TPS Cable,m,4.50,7.60,electrical|cable|consumable,Twin and earth,Electrical,Cable & Conduit,yes,no
CBL-OR6,6mm Orange Round Cable,m,2.90,5.10,electrical|cable|consumable,3-core + earth orange circular,Electrical,Cable & Conduit,yes,no
CBL-SDI16,16mm Single Insulated (per core),m,3.20,5.60,electrical|cable|consumable,Building wire single core,Electrical,Cable & Conduit,yes,no
MCB-1P,Single Pole MCB,ea,6.00,15.00,electrical|protection|switchboard,Miniature circuit breaker 6kA,Electrical,Protection,yes,yes
RCBO-2P,Double Pole RCBO,ea,28.00,58.00,electrical|protection|switchboard,Combined RCD + MCB,Electrical,Protection,yes,yes
RCD-4P,Four Pole Safety Switch,ea,45.00,90.00,electrical|protection|switchboard,Three-phase RCD,Electrical,Protection,yes,no
SWBD-12,12-Way Switchboard Enclosure,ea,55.00,115.00,electrical|switchboard,Surface-mount distribution board,Electrical,Switchboards,yes,no
MTRBOX-REC,Recessed Meter Box,ea,85.00,170.00,electrical|switchboard,Recessed meter panel enclosure,Electrical,Switchboards,yes,no
GPO-DBL,Double Power Point,ea,6.50,16.00,electrical|accessory,250V 10A double GPO,Electrical,Points & Switches,yes,yes
GPO-SGL,Single Power Point,ea,5.00,13.00,electrical|accessory,250V 10A single GPO,Electrical,Points & Switches,yes,no
GPO-WP,Weatherproof Outdoor GPO,ea,22.00,46.00,electrical|accessory,IP53 outdoor double GPO,Electrical,Points & Switches,yes,no
SW-1G,Single Gang Light Switch,ea,4.50,11.00,electrical|accessory,1-gang switch mech + plate,Electrical,Points & Switches,yes,no
DL-LED,LED Downlight Dimmable,ea,9.00,24.00,electrical|lighting,90mm dimmable LED downlight tri-colour,Electrical,Lighting,yes,yes
SMK-240,240V Photoelectric Smoke Alarm,ea,28.00,62.00,electrical|accessory,Mains smoke alarm with battery backup,Electrical,Safety,yes,no
CON-CORR20,20mm Corrugated Conduit,m,1.80,3.60,electrical|cable|consumable,Medium-duty corrugated conduit,Electrical,Cable & Conduit,yes,no
CON-CORR25,25mm Corrugated Conduit,m,2.40,4.60,electrical|cable|consumable,Heavy-duty corrugated conduit,Electrical,Cable & Conduit,yes,no
EVC-7K,7kW Single Phase EV Charger,ea,650.00,980.00,electrical|ev,Type 2 single-phase wall charger,Electrical,EV Charging,yes,no
EVC-22K,22kW Three Phase EV Charger,ea,1100.00,1650.00,electrical|ev,Type 2 three-phase wall charger,Electrical,EV Charging,yes,no
TRAY-100,100mm Cable Tray,m,12.00,23.00,electrical|accessory,Perforated cable tray,Electrical,Cable & Conduit,yes,no
JB-IP66,IP66 Junction Box,ea,8.00,18.00,electrical|accessory,Weatherproof junction enclosure,Electrical,Accessories,yes,no
EARTH-STK,Earth Stake + Clamp,ea,14.00,30.00,electrical|protection,1.2m copper-bonded earth electrode,Electrical,Protection,yes,no
EXH-FAN,Bathroom Exhaust Fan,ea,45.00,98.00,electrical|accessory,Ceiling exhaust fan with duct,Electrical,Accessories,yes,no
